appid,game,motivo
257420,Serious Sam 4,"5900 reviews em inglês fora de [10000, 60000]"
546560,Half-Life: Alyx,"70202 reviews em inglês fora de [10000, 60000]"
1263850,Football Manager 2021,"9485 reviews em inglês fora de [10000, 60000]"
386360,SMITE,"67960 reviews em inglês fora de [10000, 60000]"
238090,Sniper Elite 3,"9738 reviews em inglês fora de [10000, 60000]"
238430,Contagion,"8643 reviews em inglês fora de [10000, 60000]"
1341290,We Were Here Forever,"6733 reviews em inglês fora de [10000, 60000]"
936790,Life is Strange: True Colors,"9518 reviews em inglês fora de [10000, 60000]"
40990,Mafia,"4519 reviews em inglês fora de [10000, 60000]"
2679460,Metaphor: ReFantazio,só 0 reviews antes do corte
994280,Gujian3(古剑奇谭三),"1778 reviews em inglês fora de [10000, 60000]"
774861,Project Winter,"6463 reviews em inglês fora de [10000, 60000]"
955050,Bright Memory,"5700 reviews em inglês fora de [10000, 60000]"
1233570,Mirror's Edge Catalyst,"7419 reviews em inglês fora de [10000, 60000]"
1296830,暖雪 Warm Snow,"1396 reviews em inglês fora de [10000, 60000]"
10190,Call of Duty: Modern Warfare 2 (2009),"6563 reviews em inglês fora de [10000, 60000]"
412830,STEINS;GATE,"5840 reviews em inglês fora de [10000, 60000]"
2290180,Riders Republic,"8076 reviews em inglês fora de [10000, 60000]"
